last_price,wallet,upnl,position_contracts,position_leverage,order_contracts,order_leverage,order_idle,order_limit,order_market
8536,0.999249,0.000879301,8535,1.00063,0,0,1,0,0
8535.5,0.999249,0.000820729,8535,1.00069,0,0,1,0,0
8535.5,0.999249,0.000820729,8535,1.00069,0,0,1,0,0
8532.5,0.999249,0.000469153,8535,1.00104,0,0,1,0,0
8532.5,0.999249,0.000469153,8535,1.00104,0,0,1,0,0
8529.5,0.999249,0.00011733,8535,1.0014,0,0,1,0,0
8530,0.999249,0.000175984,8535,1.00134,0,0,1,0,0
8529.5,0.999249,0.00011733,8535,1.0014,0,0,1,0,0
8530,0.999249,0.000175984,8535,1.00134,0,0,1,0,0
8529.5,0.999249,0.00011733,8535,1.0014,0,0,1,0,0
8530,0.999249,0.000175984,8535,1.00134,0,0,1,0,0
8530,0.999249,0.000175984,8535,1.00134,0,0,1,0,0
8529.5,0.999249,0.00011733,8535,1.0014,0,0,1,0,0
8527,0.999249,-0.000176046,8535,1.00169,0,0,1,0,0
8527.5,0.999249,-0.000117357,8535,1.00163,0,0,1,0,0
8527,0.999249,-0.000176046,8535,1.00169,0,0,1,0,0
8524.5,0.999249,-0.000469593,8535,1.00198,0,0,1,0,0
8524,0.999249,-0.000528324,8535,1.00204,0,0,1,0,0
8524,0.999249,-0.000528324,8535,1.00204,0,0,1,0,0
8523.5,0.999249,-0.000587061,8535,1.0021,0,0,1,0,0
8521.5,0.999249,-0.000822078,8535,1.00234,0,0,1,0,0
8522,0.999249,-0.000763313,8535,1.00228,0,0,1,0,0
8523.5,0.999249,-0.000587061,8535,1.0021,0,0,1,0,0
8524,0.999249,-0.000528324,8535,1.00204,0,0,1,0,0
8523.5,0.999249,-0.000587061,8535,1.0021,0,0,1,0,0
8523.5,0.999249,-0.000587061,8535,1.0021,0,0,1,0,0
8523.5,0.999249,-0.000587061,8535,1.0021,0,0,1,0,0
8516,0.999249,-0.00146894,8535,1.00298,0,0,1,0,0
8514.5,0.999249,-0.00164551,8535,1.00316,0,0,1,0,0
8504.5,0.999249,-0.00282419,8535,1.00434,0,0,1,0,0
8508.5,0.999249,-0.00235238,8535,1.00387,0,0,1,0,0
8512,0.999249,-0.00193992,8535,1.00346,0,0,1,0,0
8512,0.999249,-0.00193992,8535,1.00346,0,0,1,0,0
8512,0.999249,-0.00193992,8535,1.00346,0,0,1,0,0
8510,0.999249,-0.00217557,8535,1.00369,0,0,1,0,0
8508.5,0.999249,-0.00235238,8535,1.00387,0,0,1,0,0
8508,0.999249,-0.00241133,8535,1.00393,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8510,0.999249,-0.00217557,8535,1.00369,0,0,1,0,0
8510,0.999249,-0.00217557,8535,1.00369,0,0,1,0,0
8510,0.999249,-0.00217557,8535,1.00369,0,0,1,0,0
8510,0.999249,-0.00217557,8535,1.00369,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8510,0.999249,-0.00217557,8535,1.00369,0,0,1,0,0
8509,0.999249,-0.00229344,8535,1.00381,0,0,1,0,0
8509,0.999249,-0.00229344,8535,1.00381,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8510,0.999249,-0.00217557,8535,1.00369,0,0,1,0,0
8514,0.999249,-0.00170438,8535,1.00322,0,0,1,0,0
8514,0.999249,-0.00170438,8535,1.00322,0,0,1,0,0
8514,0.999249,-0.00170438,8535,1.00322,0,0,1,0,0
8514,0.999249,-0.00170438,8535,1.00322,0,0,1,0,0
8514,0.999249,-0.00170438,8535,1.00322,0,0,1,0,0
8513.5,0.999249,-0.00176325,8535,1.00328,0,0,1,0,0
8513.5,0.999249,-0.00176325,8535,1.00328,0,0,1,0,0
8509,0.999249,-0.00229344,8535,1.00381,0,0,1,0,0
8509,0.999249,-0.00229344,8535,1.00381,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8509,0.999249,-0.00229344,8535,1.00381,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8509.5,0.999249,-0.0022345,8535,1.00375,0,0,1,0,0
8513,0.999249,-0.00182213,8535,1.00334,0,0,1,0,0
8515,0.999249,-0.00158665,8535,1.0031,0,0,1,0,0
8514.5,0.999249,-0.00164551,8535,1.00316,0,0,1,0,0
8514.5,0.999249,-0.00164551,8535,1.00316,0,0,1,0,0
8515,0.999249,-0.00158665,8535,1.0031,0,0,1,0,0
8515,0.999249,-0.00158665,8535,1.0031,0,0,1,0,0
8519,0.999249,-0.001116,8535,1.00263,0,0,1,0,0
8519,0.999249,-0.001116,8535,1.00263,0,0,1,0,0
8516.5,0.999249,-0.0014101,8535,1.00293,0,0,1,0,0
8514.5,0.999249,-0.00164551,8535,1.00316,0,0,1,0,0
8514.5,0.999249,-0.00164551,8535,1.00316,0,0,1,0,0
8515.5,0.999249,-0.00152779,8535,1.00304,0,0,1,0,0
8516,0.999249,-0.00146894,8535,1.00298,0,0,1,0,0
8517,0.999249,-0.00135127,8535,1.00287,0,0,1,0,0
8520,0.999249,-0.000998413,8535,1.00251,0,0,1,0,0
8520,0.999249,-0.000998413,8535,1.00251,0,0,1,0,0
8520.5,0.999249,-0.000939628,8535,1.00245,0,0,1,0,0
8528,0.999249,-5.86751e-05,8535,1.00157,0,0,1,0,0
8530,0.999249,0.000175984,8535,1.00134,0,0,1,0,0
8531,0.999249,0.000293272,8535,1.00122,0,0,1,0,0
8531.5,0.999249,0.000351906,8535,1.00116,0,0,1,0,0
8531,0.999249,0.000293272,8535,1.00122,0,0,1,0,0
